strategy,model,date,position,executed_position,turnover,strategy_return,equity,drawdown
StableHGB,stable_hgb,2025/01/02,1.0,1.0,0.0,-0.007880216321815792,99211.97836781842,-0.007880216321815792
StableHGB,stable_hgb,2025/01/03,1.0,1.0,0.0,-0.047828311462035256,94466.83696567769,-0.05533163034322308
StableHGB,stable_hgb,2025/01/06,1.0,1.0,0.0,-0.006965038296092518,93808.87182850101,-0.06191128171498994
StableHGB,stable_hgb,2025/01/07,1.0,1.0,0.0,0.03666059264155752,97247.96066476977,-0.027520393352302386
StableHGB,stable_hgb,2025/01/08,1.0,1.0,0.0,-0.0023530938670022206,97019.12708495103,-0.02980872915048971
StableHGB,stable_hgb,2025/01/09,1.0,1.0,0.0,0.005732579547672145,97575.29694861123,-0.02424703051388777
StableHGB,stable_hgb,2025/01/10,1.0,1.0,0.0,-0.03154771947584489,94497.01885270418,-0.05502981147295827
StableHGB,stable_hgb,2025/01/13,1.0,1.0,0.0,0.009250844219383714,95371.1960533067,-0.04628803946693294
StableHGB,stable_hgb,2025/01/14,1.0,1.0,0.0,0.05471148230514955,100589.09555859814,0.0
StableHGB,stable_hgb,2025/01/15,1.0,1.0,0.0,0.0002536797198067209,100614.61297217506,0.0
StableHGB,stable_hgb,2025/01/16,1.0,1.0,0.0,0.009460126480445696,101566.43993667293,0.0
StableHGB,stable_hgb,2025/01/17,1.0,1.0,0.0,-0.005173354657099671,101041.00072162152,-0.005173354657099671
StableHGB,stable_hgb,2025/01/20,1.0,1.0,0.0,0.017091603281457424,102767.95342111694,0.0
StableHGB,stable_hgb,2025/01/21,1.0,1.0,0.0,-0.011275013683268997,101609.24334009229,-0.011275013683268997
StableHGB,stable_hgb,2025/01/22,1.0,1.0,0.0,-0.010860818422885998,100505.6837980887,-0.022013376229825465
StableHGB,stable_hgb,2025/01/23,1.0,1.0,0.0,0.002743652743652847,100781.43649319404,-0.019330120546262708
StableHGB,stable_hgb,2025/01/24,1.0,1.0,0.0,0.009125930765984558,101701.1609051274,-0.010380595122081449
StableHGB,stable_hgb,2025/01/27,1.0,1.0,0.0,-0.0007581132961200776,101624.05990281438,-0.011130838751017835
StableHGB,stable_hgb,2025/02/05,1.0,1.0,0.0,0.022339460440201186,103894.28656878594,0.0
StableHGB,stable_hgb,2025/02/06,1.0,1.0,0.0,0.014908226594480434,105443.1661348253,0.0
StableHGB,stable_hgb,2025/02/07,1.0,1.0,0.0,0.010726134870347126,106574.16375594384,0.0
StableHGB,stable_hgb,2025/02/10,1.0,1.0,0.0,0.025838209965063363,109327.84937592097,0.0
StableHGB,stable_hgb,2025/02/11,1.0,1.0,0.0,-0.0015334305426236705,109160.20271252858,-0.0015334305426235595
StableHGB,stable_hgb,2025/02/12,1.0,1.0,0.0,0.004069454708150566,109604.42521339975,0.0
StableHGB,stable_hgb,2025/02/13,1.0,1.0,0.0,-0.01274968019406153,108207.00384407496,-0.012749680194061641
StableHGB,stable_hgb,2025/02/14,1.0,1.0,0.0,0.0013591366439467123,108354.07194813111,-0.011407872107665362
StableHGB,stable_hgb,2025/02/17,1.0,1.0,0.0,0.025760691205964026,111145.34773649574,0.0
StableHGB,stable_hgb,2025/02/18,1.0,1.0,0.0,-0.024294146544977857,108445.16637079278,-0.024294146544977857
StableHGB,stable_hgb,2025/02/19,1.0,1.0,0.0,0.02056998856379466,110675.8822028388,-0.0042238882977806425
StableHGB,stable_hgb,2025/02/20,1.0,1.0,0.0,0.012465106131900106,112055.46882073884,0.0
StableHGB,stable_hgb,2025/02/21,1.0,1.0,0.0,-0.0032811451686362014,111687.7985605984,-0.0032811451686363124
StableHGB,stable_hgb,2025/02/24,1.0,1.0,0.0,0.012104045163541022,113039.67271859237,0.0
